Date,Previous 14 EMA,Previous 50 EMA,Target Exposure,Shares Traded,Shares Held,Cash,Portfolio Value
2022-07-26,368.9151359409093,373.1072283040694,2.7755575615628914e-17,1.0001590979603798e-17,2.0723224071621357e-15,27873.932325158,27873.932325158
2022-07-27,369.1307398857672,373.00624545008014,2.7755575615628914e-17,-2.732457271668055e-18,2.0695899498904676e-15,27873.932325158,27873.932325158
2022-07-28,370.60044575907114,373.28653127303966,2.7755575615628914e-17,-3.8777299502279556e-17,2.030812650388188e-15,27873.932325158,27873.932325158
2022-07-29,372.50993710577836,373.74280968819005,2.7755575615628914e-17,-2.835106093556178e-17,2.0024615894526263e-15,27873.932325158,27873.932325158
2022-08-01,374.91305551771626,374.40126127670464,0.10000000000000003,7.186943957475774,7.186943957475775,25086.5390926422,27884.96877509988
2022-08-02,376.8415629916562,374.9885397196678,0.20000000000000004,7.1878923290220404,14.374836286497816,22298.982397623862,27859.284271971956
2022-08-03,378.1704231149041,375.4520485116814,0.30000000000000004,7.137812928927618,21.512649215425434,19522.86385856739,27974.433865070805
2022-08-04,380.12971907588565,376.13491495523374,0.4,6.973665816408666,28.4863150318341,16783.682132629045,27967.40350266037
2022-08-05,381.79239552983006,376.7805964268116,0.5,7.3672203476850875,35.85353537951919,13922.809331213512,27975.106210848862
2022-08-08,383.14489708939436,377.3749321444489,0.6,6.881116332746998,42.734651712266185,11214.240602622165,27944.050778285713
2022-08-09,384.25639616237095,377.92811677159676,0.7,7.269028667760679,50.003680380026864,8373.858270904844,27871.623610225128
2022-08-10,385.0124240373361,378.3986457305385,0.7999999999999999,6.874828330895262,56.87850871092213,5644.760188416885,28289.039125511124
2022-08-11,386.75964852116005,379.1718991397729,0.8999999999999999,6.982439279152814,63.86094799007494,2845.0787829982364,28269.18275914273
2022-08-12,388.27390974047415,379.9148288859001,0.9999999999999999,7.11179987329546,70.9727478633704,6.821210263296962e-12,28733.7722481081
2022-08-15,390.48491041440053,380.892930294097,0.9999999999999999,1.4210854715202004e-14,70.97274786337042,1.099243128513582e-12,28852.16990097685
2022-08-16,392.6235393838867,381.89809489768334,0.9999999999999999,-1.4210854715202004e-14,70.9727478633704,6.8610842053481444e-12,28908.6851570193
2022-08-17,394.58319051291016,382.89506854293353,0.9999999999999999,1.4210854715202004e-14,70.97274786337042,1.1237595917161212e-12,28703.492737148325
2022-08-18,395.8960689848867,383.7395669942983,0.9999999999999999,0.0,70.97274786337042,1.1237595917161212e-12,28786.913006434144
2022-08-19,397.190614930131,384.59704136998147,0.9999999999999999,-1.4210854715202004e-14,70.9727478633704,6.848556234126976e-12,28400.07600955018
